Youtuber,subscribers,video views,category,uploads,Abbreviation,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,created_year,created_month,created_date,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude
Ellie Goulding,12600000,6969178081.0,Music,218,GB,148.0,36681000.0,9200.0,146700.0,110000.0,1800000.0,2007.0,1,29.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
colinfurze,12500000,1612094871.0,Entertainment,385,GB,171.0,8482000.0,2100.0,33900.0,25400.0,407200.0,2006.0,11,15.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
People Vs Food,12500000,1136534702.0,Entertainment,601,US,171.0,15340000.0,3800.0,61400.0,46000.0,736300.0,2013.0,7,30.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Health Time,12500000,1002219689.0,Howto & Style,1810,IN,62.0,1395000.0,349.0,5600.0,4200.0,66900.0,2016.0,9,25.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Yair17,12500000,1402042328.0,Gaming,1109,MX,68.0,8869000.0,2200.0,35500.0,26600.0,425700.0,2014.0,1,22.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Little Baby Bum en Espaï¿½ï,12500000,6956320454.0,Education,1459,ES,46.0,16319000.0,4100.0,65300.0,49000.0,783300.0,2014.0,6,6.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
First We Feast,12500000,2983799729.0,Howto & Style,1076,US,171.0,111252000.0,27800.0,445000.0,333800.0,5300000.0,2014.0,2,28.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Mï¿½ï¿½ï¿½ï¿½,12500000,3140883140.0,Travel & Events,766,MX,171.0,31007000.0,7800.0,124000.0,93000.0,1500000.0,2015.0,7,6.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Parafernalha,12500000,4625777945.0,Entertainment,1888,BR,171.0,7158000.0,1800.0,28600.0,21500.0,343600.0,2011.0,5,13.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
NDTV,12500000,4935793409.0,Entertainment,151136,IN,24.0,58527000.0,14600.0,234100.0,175600.0,2800000.0,2006.0,5,8.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
elcarteldesantatv,12500000,7489455451.0,Music,377,MX,171.0,115881000.0,29000.0,463500.0,347600.0,5600000.0,2008.0,11,27.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
Family Fitness,12500000,10384848759.0,Entertainment,1699,IN,171.0,235715000.0,58900.0,942900.0,707100.0,11300000.0,2017.0,1,18.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Zee Tamil,12500000,11552190002.0,Entertainment,102699,IN,171.0,349940000.0,87500.0,1400000.0,1000000.0,16800000.0,2008.0,8,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Flowers Comedy,12500000,11691081301.0,Entertainment,11907,IN,170.0,180021000.0,45000.0,720100.0,540100.0,8600000.0,2015.0,8,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Mundo Bita,12500000,16690788752.0,Music,253,BR,149.0,213700000.0,53400.0,854800.0,641100.0,10300000.0,2011.0,9,29.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Wave Music Bhakti,12500000,5146004207.0,Music,19899,IN,149.0,11079000.0,2800.0,44300.0,33200.0,531800.0,2011.0,4,19.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
CKM,12500000,4465772496.0,Comedy,117,IN,42.0,13142000.0,3300.0,52600.0,39400.0,630800.0,2018.0,2,20.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
_vector_,12400000,7597013023.0,Comedy,398,US,43.0,903672000.0,225900.0,3600000.0,2700000.0,43400000.0,2019.0,3,24.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
LOUD,12400000,2394143260.0,Gaming,690,US,1759.0,27596.0,7.0,110.0,83.0,1300.0,2006.0,1,4.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Gibby :),12400000,2862685032.0,People & Blogs,226,MX,63.0,10278000.0,2600.0,41100.0,30800.0,493300.0,2014.0,8,30.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784
SAAIHALILINTAR,12400000,1113066203.0,Entertainment,409,ID,172.0,806075.0,202.0,3200.0,2400.0,38700.0,2012.0,4,28.0,36.3,270203917.0,4.69,151509724.0,-0.789275,113.921327
Timba Vk,12400000,2840137980.0,Gaming,1024,ES,68.0,24022000.0,6000.0,96100.0,72100.0,1200000.0,2012.0,6,16.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Heidi and Zidane HZHtube,12400000,4021409291.0,Entertainment,813,CA,172.0,9595000.0,2400.0,38400.0,28800.0,460600.0,2015.0,11,24.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771
DaniRep | +6 Vï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,12400000,6933660906.0,Gaming,12419,ES,68.0,82648000.0,20700.0,330600.0,247900.0,4000000.0,2012.0,10,29.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922
Zee Kids,12400000,7683670251.0,Film & Animation,1212,IN,172.0,95163000.0,23800.0,380700.0,285500.0,4600000.0,2012.0,7,6.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Pari's Lifestyle,12400000,7741764747.0,People & Blogs,459,IN,63.0,38165000.0,9500.0,152700.0,114500.0,1800000.0,2018.0,11,26.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
DisneyChannelUK,12400000,12607488647.0,Music,4422,GB,172.0,34758000.0,8700.0,139000.0,104300.0,1700000.0,2007.0,12,6.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973
bharatzkitchen HINDI,12400000,2315226648.0,Howto & Style,729,IN,38.0,30968000.0,7700.0,123900.0,92900.0,1500000.0,2016.0,8,10.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
Avril Lavigne,12400000,6202090191.0,Music,205,US,150.0,50188000.0,12500.0,200800.0,150600.0,2400000.0,2005.0,10,8.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Caylus,12400000,4779139505.0,Education,1340,US,68.0,177600000.0,44400.0,710400.0,532800.0,8500000.0,2016.0,4,6.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Migos ATL,12400000,6993406259.0,Music,99,US,171.0,49412000.0,12400.0,197600.0,148200.0,2400000.0,2012.0,1,17.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891
Natan por Aï¿,12300000,9029609749.0,Sports,1200,BR,172.0,552513000.0,138100.0,2200000.0,1700000.0,26500000.0,2017.0,2,12.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528
Free Fire India Official,12300000,1674409945.0,People & Blogs,1500,IN,69.0,64735000.0,16200.0,258900.0,194200.0,3100000.0,2018.0,9,14.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
RobTopGames,12300000,374123483.0,Gaming,39,SE,69.0,3871000.0,968.0,15500.0,11600.0,185800.0,2012.0,5,9.0,67.0,10285453.0,6.48,9021165.0,60.128161,18.643501
Make Joke Of,12300000,2129773714.0,Comedy,62,IN,44.0,24000000.0,6000.0,96000.0,72000.0,1200000.0,2017.0,8,1.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288
